bersten (birst),barst,ist geborsten
¹bleichen (bleicht),blich,ist geblichen
dreschen (drischt),drosch,hat gedroschen
flechten (flicht),flocht,hat geflochten
glimmen (glimmt),glomm,hat geglommen
hauen (haut),hieb,hat/ist gehauen
schelten (schilt),schalt,hat gescholten
¹scheren (schert),schor,hat geschoren
speien (speit),spie,hat gespien
stieben (stiebt),stob,ist/hat gestoben
verdrießen (verdrießt),verdross,hat verdrossen
weben (webt),wob,hat gewoben
